Reviews,Rating
"Truly speaking it is a budget smartphone at this price range. Camera quality is pretty good 👍. Performance in awesome, as well as the battery 🔋 life is much more satisfactory. Display quality is very good.Build quality also much attractive👌.Thank you 😊",5
Good product...,4
It's an average  phone not for heavy users,3
Camera quality is the best I loved it,4
All is the best in this wow prise.Camera is nice in day light. Battery performance is slightly weak.,5
I used to one week this phone battery backup super and camera so good so this price. thank you Flipkart Samsung and seller.😃😃😃,5
Really awesome working nice good battery backup camera is awesome,5
"It's  Normal Handset According to budget,  I feel better with this device",3
Very beautiful phone 😍 And looking awesome ☺️New generation hands set 🥰,5
East or west samsung is best,5
Good phone for the priceDisplay is averageCamera is good backFront average Battery okBack plastic frame average feelPerformance is good for the price Only buy this as a daily driver and don't expect heavy gaming overall a good phone for good price. final verdict: good phone for its price,5
Mobile is fine and satisfied for all but i think also add screen gard ( Glass ) and Back cover in box than is better for on this price . 👍👌😊,5
"Very good product according to price...battery , design, camera are good .some features missing like screen recording and individual call recording. Overall product is nice😊 review after using 20 days.",4
Honestly review....aftr using 4 weeks thz is an amazing @ d wide range ...it's ok fr a basic user's...good condition,5
Battery is v good and all features are good .,4
Fantastic,5
I buy this phone for my grandma and she love it small and easy to use thank you flipkart it's really value for money product💞,5
Nice,3
Very good But tamil language not available Only Hindi and English,4
Best quality feuitur mobaile better using Good product,5
Good Product,3
Nice ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,4
That's basic original product🥰.. Basic ah use panna samsung ok good mobile.. Nampi vangalam .....,5
Very nice products👍👏😊,5
"Great, super, jindabad...👍🙂",5
"Note: If you are looking for a mobile for heavy performance then this mobile is not for you, I am writing this review using mobile for a monthCamera:The camera of this mobile is amazing, takes great quality photos and the video stabilization is amazing overall camera of this mobile is outstanding 5/5✨️Battery:Samsung provides a battery of 6000 mah which can comfortably last the whole day even if you have heavy use 5/5⚡️Performance:The performance of this mobile is amazing for users w...",5
Super,5
Very good phone. Worth a buy,5
Best phone and good look,5
nice one,4
"The phone is good for regular use. Comes with enormous battery of 6000 mah which supports all your daily errands in a single charge. The back camera is good while I think front camera could be made better. It supports type c charger only and it is strongly recommend to use adaptible original charger only, to save battery health and to avoid heating issue. Furthermore, the data from old phone gets transferred within minutes with an inbuilt app and comes with a gorilla glass which safeguards yo...",5
The product is good you can buy it 😁,5
This is worth buying. Much better than any Chinese brand.,5
Outstanding phone ❤️,5
Heating issues hai Baaki sub good,4
"Excellent product and awesome features , zoom is beyond comparisonExcellent display and good battery life. S pen is a master in it's own league.While sticking screen guards Kindly make sure glue doesn't leak to the speaker or S pen  modules as it may create an issue Inorder to avail the offerPlease go toAccountCouponsAll rewards and scroll downYou will get the offer mentioned and you can order the same if you are eligibleHappy purchasing",5
"I ordered the product during pre-book period, exchanging my old OP6.The product is great, the seller delivered in time. The exchange process with Flipkart was also great. After the return period I got my Galaxy buds 2 and Watch 4 classic as well.The camera quality is excellent, the battery life is great as well. I am getting around 10 hours SOT, and 24 hours total time in a full recharge.OneUI is one of the best Android experience you can get.Overall a great deal.",5
Fantastic mobile in all means. This is the best Android in market without doubt and I feel this is far better than latest iPhone in terms of quality and features.Noted my observations after 2 weeks of usagePros1) Fantastic camera with super zoom feature which can zoom and take snaps of high quality pics located far distance. Camera performance is outstanding in low light and you can capture high quality Raw pics also2) Display (2k plus) and sound quality is superb . You cannot this much q...,5
Everything is good in the phone except some heating issues which also affects battery backup,5
Phone is just Awsome camera quality superb S Pen is addiction to ultra users And Display is quality was best...battery could be better compare to iphoneOverall Device is super fast...price is high but with offers its worth🤩🤩,4
The best of the best. S23 Ultra is the best phone in the world right now.,5
"I am thankful to almighty god to let me buy my first flagship dream device. This works like the smoothest butter I have ever seen. You throw anything on it, and it makes it work like a charm.",5
"Wonderful , looks wise and specially feel like we have Mercedes car. Feels and touch never be explain it's feels. I hope you all understand what I mean ? in short wow 👌 wonderful",5
Product is really good but flipkart service is not   I am not able to get my offer which were offered with the phone kindly guide the customers in a proper way to get the buds and watch at the offer price after buying the phone.,5
One of the best camera phone 🤳 📱#samsung galaxy s23 ultra 💯 🤞,5
"The product is excellent, but the Flipkart website is terrible. There is no way to get Watch 4 and Earbuds 2 at a discounted price as mentioned on the pre-booking page.Got the phone four days back, still no way to redeem goodies.",3
This is an awesome product and got it for an amazing price at flipkart great bunch of offers and exchange price on old mobile device offered by flipkart,5
"simplicity is the best design, simply superb in all aspects, best device i have owned so far, better in all aspects than the bitten 🍎",5
"I'm in love, I'm  telling  you guys if you have the budget just go for it.",5
"Best Android phone available in market. Beautiful Display for multimedia and amazing sound system. Excellent processor for smooth daily operations and multi-tasking. No heating issues for regular usage. Not a gamer so cannot comment on gaming performance or heating issue. Amazing Battery life, can last almost 2 days for medium usage easily 1 day for even heavy usage. Finally the camera....it is going to give iphone tough competition. Awesome images and videos. Night photography is next level....",5
Fabulous 👌,5
Awesome product good deal,5
Top notch specs.Need to buy charger seperately for full support of 45W.It charges within 60 minutes most of time and screen on time is 6-7 hours.The fort is nearly 10-15 kms away from my home and zoom and clearty after taking pics it's just awesome.Had to buy this one as it gives few more features than Apple. Portraits are good too. Overall great but little pricier as we compare to US prices.,5
All round the best mobile,5
Better then I phone,5
"The first time you look at it, it isn't  that impressive, but once you touch it, god what a feeling. The device is aesthetic and looks better with lot of light around. The phantom black is awesome.Coming to the cameras, they are better than any phone out there. When i say any phone that includes an iPhone too. The first time in my life, i don't  feel like adding any filter or do any edits to my pics. They are just perfect. Perfect details, perfect colours and best resolution. Though nightmo...",5
This is the best smartphone of 2023 Image and video quality is amazing.,5
excellent picture clarity and nice performance too,5
Battery-Phone will learn usage pattern so be patient and after a few days u will get superb battery life.Camera-Its is excellent as mentioned by others. If the object has details then 100x works properly else it become blurry. I recommened to use upto 80x.Size- Ya its a bulky phone coz it falls under note series.Display- its is so powerful if you look other mobiles then only u will realise and feel. My eyes never burn even after 5 hours of non stop usage.Charge Speed- Buy only origi...,5
"Worth every peny , the cam is next level jus like the performance",5
"Moved from iPhone 14 pro to ultra, what a display and camera ❤️",5
Flipkart people please let us know how to avail the Smart watch and galaxy buds offer,3
Great 👍,5
Exchanged my I phone 11 for s23 ultra......awesome phone....must have......everything is fine for this phone than an I phone...,5
Amazing phone which stands similar to iPhone 14 pro max,5
Nice mobile but over priced. Cost of this mobile should be 21-22k,5
So nice mobile phone. Thanks samsung,5
"PHONE is good.Looks superb and beautiful. Good buyI have seen many videos of proc and cons but according to me the best part in this phone are1. Elegant look. It's body is of plastic but very premium quality, back part is amazing with camera part looks like S232. Excellent Display. 3. 4K video recording. 4. Good battery. I bought portronics adapter for Rs 450.5. Waterproof in this range. 6. Speaker output is amazing and gives good sounds and effect.  Also has equalizer. 7. Split sc...",5
"The Galaxy A34 5G is a meaningful upgrade over its predecessor that cuts unnecessary parts and improves in just the right areas to transform into a well-rounded phone for its price range. Its strongest characteristics are without a doubt the amazingly long battery life and the long software support, which is not standard for the mid-range market. In other words, if you are searching for a phone that would not break the bank and nevertheless last you for 3 or 4 years, this is a great option.P...",5
Best phone under this price .Camera 👌,5
One of the Good mobiles in this price range,5
Best amoled disple and very very nice mobile,5
Happy purchase 👍😄,5
Nice Product very nice 👌,5
Better,5
Good Phone...Premium in hand feel.... Battery is slightly drain fast ... Other spec are great  ...,5
looking good,4
"Nice Camera, and perform but the best thing this phone has it's design. Very comfortable while holding and using. I was expecting better camera and performance with this budget but it's okay.",5
I like performance and camera also design 👌,5
Been using for a month* Display is the best* Speakers are too good. Best for multimedia usage  because of the display and speakers. * Battery lasts upto a day for medium use. But          battery drain is there. Charging is on the slower side. * Phone heats while playing a medium game for 15 minutes and also after 30 minutes of continuous heavy usage.* Processor is okay-ish. Had felt some discomfort  here and there.* Camera too is okay-ish. After processing the image  quality certainly ...,4
Heating problem,3
"After use 1 week the mobile camera is super, and mobile is using is better than other mobiles, but cost is little higher and battery is not get to one day other wise mobile is super",5
Satisfied,5
Reviewing after one month use Nice and handy phone with 6.4 displayCompact size.Camera 📷 is mind blowing 🔥🔥Battery life is okDisplay is amazing with victous glass protection which is best in marketFor normal use its a best phone with amazing features and customisation,5
"Using since last 10 days and super happy with the purchase, also prompt delivery by flipkart,what an amazing camera,display and lovely one UI,received immediate android 13 one UI 5 update,overall happy and satisfied with my purchase.",5
"It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range.",5
Awesome phone. Loved the camera . Display is Awesome and beautiful. Buy it without  hesitating,5
Best camera.Super display. IP 68 rating.3 yrs Android updates.A good all rounder mobile.But missing fast charging compare with other mobiles in this price segment. It's ok for me.,5
Awesome camera,5
I personally buy this phone for camera it is good but sometimes feeling need more optimisation and battery performance also good when we get refresh rate at standard it will go for long day 120 hz can drain ur battery easily and display is also very good sound was dolby atmos was very good soo finally experiencing flagship samsung mobile haptic feedback is also nice now slowly felling love with this mobile,5
Stunning camera performance mind blowing purchase.,5
Smooth,5
Just go for it,5
Very nice looking 👌 Very good camera Performance is good combination of exynosBattery is slightly better Yes it is worth for money,5
"Amazing camera,  brilliant display, Wonderful UI, satisfactory battery performance.",5
Experience of this phone is totally awesome... camera quality is superb even with 30x zoom camera works well...best point is display... completely satisfied with the product ❤️,5
Very very good 👍👍👍👍👍👍 camera 📸,5
Best shots comes in daylight conditionOverall good phone at this price rangeCons.Poor battery backup you need to recharge the device twice a day,4
Design Good Camera is just awesome Battery is decent. For Normal user the Battery is enough for a day (who use phone 4-6 hour )Performance is Good If u want a phone for photography then it mind-blowing go for it 🥰,4
Mind blowing camera,5
"Amazing phone , In love with its design and in hand feelCameras are good , Amazing software experience one UI ❤I was confused between iphone 13 and this.... but it offers telephoto lens that too with OIS and Endless customisation options in Android Battery is not that much bad ....can last a day easilySpeakers 🔊 are great and loud ..... Surround Dolby audio ...but lack bass a bitGo for it If you're getting it in under 40K Bang for buck",5
Here's  a general all time camera samples .Best phone you can get around 30k ❤,5
Fantastic mobile love ❤️ it and very fast delivery thank you flipkart,5
Photos was next level,5
"Great camera ,display and design .Can handle multitasking with ease and very snapy for navigating between apps.Battery is decent.You can play any games but if you are buying a phone mainly focused on gaming there are better phones out there .This device is an underrated gem in this segment !",5
"It's been 3-4 months using this phone. [UPDATED]Pros.1. I've bought 128GB variant out of that 128GB, 122GB is occupied by Apps, Videos, Photos etc... still 0% lagg. Working like a brand new.2. Unbeatable camera at this price, even some people ask are these pictures clicked from DSLR. Telephoto lens is capturing great pictures even in low light.3. Good quality of display.4. Feels premium as it's very sleek and light weight.5. Fast charging, charges the phone in 1 hour 10 minutes.6. Ram...",5
Amazing phone with Amazing Camera but overheating problem,5
Terrific purchase..at best price..truly loved the camera experience,5
Precious product. Bestest camera. I am fully satisfied. Thank you 🙂,5
Love itt 💓,5
Wonderful product. Everything is extraordinary.,5
Superb phone. Camara a1.,5
Superb phone I'm happy with my my purchase Camera is superb 📷 Nice looking and display 👌 Sound quality is good 👍,5
Just ❤️ camera,5
Reviewing after using for morethan 4 months .Phone is very handy  to use and camera is fabulous and battery life is decent for moderate usage.,5
"Very good phone with excellent camera and excellent display, I was bit scared of its network  reception but it warks like charm i'm continue getting 4g+ on my device with good speed..battery  could be better but u can get 6.5+ hr SOT easily with some customization ..",5
Best phone under this price performance is also good.,5
It's very nice phone,5
"Review after using one month.Just one word, Outstanding. What a masterpiece by samsung. If you want to get premium phone under 50k Just go for it without any doubt. It clicks wonderful photos,runs smooth while playing games,no heat issue. Feels good in hand. Front cam is also awesome. Thank you flip kart for fast delivery.",5
Best camera BTW there little bit heat in outdoor use,5
I am using this phone since last 25 daysFirstly the good thingsphone cameras are awesomeAnd Display is a fantastic even we use sunlight also the Display is very cleared.And Performance is very very good.It's Design is okBad thingsOnly the Battery Performance it is normal user it is ok but gaming lover or heavy user it is not good of battery life,5
Excellent Camera and Display. Performance also awesome. Only thing can be improved is battery. I'm mixed user I get 5 hrs of SOT.,5
Nice performanceNice experienceI love ❤️ samsung,5
"Stunning device, excellent display, excellent camera, decent battery 🔋",5
"Design is great even though it have a plastic back but finish is matte and scratch free, aluminium frame, excellent cameras you can rely on, no heating so far.The only cons are battery performance is below average for this price range and I get application error message frequently for half and hour each time I switch off and on the phone even after update.",5
Best camera in range. Battery lasts as expected. Superb design and classy look 💜.. Themes are also good.. Selfie camera isn't up to mark but ok.,5
"Camera is awesome, but struggle when try to record videos in 60fps.Overall great package.",5
"Camera is awesome,display is like buttery smooth decent battery everything thing is good and haa flipkart delivers amazing fast Here some of my camera shots.",5
"I was looking at this phone before BBD and it was at the lowest price at that time, I didn't get it at lowest price but lower price of 33k and even at this price this device worth a lot.Lavender color was my last choice but other options were out of stock so had to go with it. But believe me this color is the best of all. Even back is plastic it doesn't look cheap. My verdict.Camera : 5Display : 5Battery : 3.5Performance : 4.5Build : 4.5Bonus: You get water and dust resistance al...",5
Camera performance is way too goodAnd Very impressive resultOnly one con and it is battery,5
"Wonderful cameras.. performance is also good..great display..battery backup is average.. great phone if you love photography, watching videos and scrolling social media.. you will get 4 years of Android update and 5 years of security update..great deal overall but not recommended for heavy gamers..",5
Don't wait buy this device at great deal in BBD Everything is working fine Completely satisfied with device 👌 Nd don't worry about battery nd heating issue It is normal .. mine is working absolutely fine After update Battery easily lasts till mid evening If you are graduant or  employee This is perfect..Full paisa wasool,5
Good camera Quality,5
Decent camera quality. The adaptor to the charger shall not be provided with the phone. I ordered the Samsung 25W charger. I am very much impressed by the super charing feature. The phone gets charged very fast and the battery lasts very long. The diaplay is amazing. Soft and smooth screen. Very fast performance. Overall i like the phone. I hope its durable too.,5
"Awesome product, my father-in-low is so happy with this mobile , easy to use , light weight design ,I happy to see him happy",5
Photos are cool 😎 👌 ☺️ ✨️  but charging are slow in process,4
"Phone is good. However, i cant get a suitable back cover to protect the phone in flipkart for this model. Atleast agency should have provided back cover along with phone which doesnt cost much",4
Superb mobile Good productBattery             5/5Camera            4/5Display.            4/5Performance   4.5/5Worth..✌,5
Phone is good but heavy Camera 7/10Battery 10/10Design 4/10Performance 8/10Connectivity 7/10,4
Nice product I am satisfied this Phone Looking so wonderful very nice Phone,5
Good picture  quality,5
Review after some days useProsDisplay - Pls Lcd is brighter than TFT LCDDesign - it's plastic built with glassy lookVariant - 6 GB is more smoother than 4 GBChipset - Exynos 1330 more battery efficient and latest 5nm technology chip for multitaskingBattery - 6000 MAH for lasting 2 days with normal usageCamera - primary and selfie both are decent at this price rangeSoftware - one UI 5.1 with Android 13 you can customize many things it has own unique featuresCons In the box you get o...,5
"Battery is 5volt and 1.55 amps so that charging time is up to 4 .00 hrs, this is only 7.5 watts charger  please don't  encourage  this product",3
Budget product phone,4
Very good 😊👍,5
"Nice battery backup, good design and display and also a okay performance Ram|Rom is ok too.Phone is good if you compare to value-for-money 👍",4
Overall good smartphone,4
Nice product 👌...natural view is amazing 👏,5
Tipe -C battery 🔋 best calling super very nice 👍👍👍👍👍🙂🙂🙂🙂🙂 good 💯💯💯😊😊,5
Excellent phone made in India morethen 5 start rating,5
Performance super this product is worth,5
Nice product from Samsung..for elderly or guys who's multitasking is comparatively less...overall performance is good in this range....recommended 👍,5
